"ORDER_ID","PLANTPRODCUST_ID","PORTCARRIER_ID","MONTH_NUM","MONTH_NAME","QUARTER","YEAR","ORDER_DATE"
1447352018,3767,7412,6,"Jun",2,2018,10-JUN-18
1447352020,3767,7412,4,"Apr",2,2018,24-APR-18
1447205762,3684,7412,9,"Sep",3,2018,20-SEP-18
1447205763,3684,7412,5,"May",2,2018,25-MAY-18
1447370682,3685,7412,6,"Jun",2,2018,30-JUN-18
1447372963,3686,7412,12,"Dec",4,2018,21-DEC-18
1447182403,3686,7412,8,"Aug",3,2018,09-AUG-18
1447234949,3687,7412,7,"Jul",3,2018,26-JUL-18
1447178062,3687,7412,9,"Sep",3,2018,21-SEP-18
1447388729,3687,7412,6,"Jun",2,2018,16-JUN-18
1447392217,3688,7412,1,"Jan",1,2018,19-JAN-18
1447193187,3689,7412,6,"Jun",2,2018,15-JUN-18
1447353695,3690,7412,12,"Dec",4,2018,07-DEC-18
1447352524,4142,7412,4,"Apr",2,2018,22-APR-18
1447182398,4142,7412,2,"Feb",1,2018,05-FEB-18
1447278497,4142,7412,12,"Dec",4,2018,20-DEC-18
1447255584,4142,7412,11,"Nov",4,2018,05-NOV-18
1447332136,4142,7412,11,"Nov",4,2018,28-NOV-18
1447366887,4142,7412,7,"Jul",3,2018,25-JUL-18
1447234950,4142,7412,9,"Sep",3,2018,15-SEP-18
1447213261,3691,7412,6,"Jun",2,2018,21-JUN-18
1447201702,3692,7412,1,"Jan",1,2018,07-JAN-18
1447201700,3692,7412,5,"May",2,2018,18-MAY-18
1447182394,3693,7412,11,"Nov",4,2018,22-NOV-18
1447178243,3693,7412,11,"Nov",4,2018,13-NOV-18
1447182393,3694,7412,10,"Oct",4,2018,20-OCT-18
1447362579,3694,7412,7,"Jul",3,2018,09-JUL-18
1447410884,3695,7412,11,"Nov",4,2018,02-NOV-18
1447373506,3696,7412,1,"Jan",1,2018,29-JAN-18
1447393109,3696,7412,12,"Dec",4,2018,31-DEC-18
1447205898,4033,7412,8,"Aug",3,2018,08-AUG-18
1447261157,4033,7412,12,"Dec",4,2018,27-DEC-18
1447283772,4033,7412,7,"Jul",3,2018,24-JUL-18
1447216710,4033,7412,9,"Sep",3,2018,27-SEP-18
1447302786,4033,7412,1,"Jan",1,2018,25-JAN-18
1447283727,4033,7412,1,"Jan",1,2018,28-JAN-18
1447373433,4033,7412,1,"Jan",1,2018,14-JAN-18
1447389131,4033,7412,5,"May",2,2018,17-MAY-18
1447208346,4033,7412,7,"Jul",3,2018,12-JUL-18
1447266883,4033,7412,8,"Aug",3,2018,31-AUG-18
1447373503,4034,7412,5,"May",2,2018,15-MAY-18
1447401850,4034,7412,3,"Mar",1,2018,27-MAR-18
1447373491,4034,7412,5,"May",2,2018,10-MAY-18
1447373510,4036,7412,6,"Jun",2,2018,17-JUN-18
1447305018,4038,7412,8,"Aug",3,2018,11-AUG-18
1447373481,4038,7412,2,"Feb",1,2018,11-FEB-18
1447305017,4038,7412,1,"Jan",1,2018,02-JAN-18
1447373453,4038,7412,6,"Jun",2,2018,11-JUN-18
1447186295,4040,7412,5,"May",2,2018,13-MAY-18
1447201982,4040,7412,6,"Jun",2,2018,10-JUN-18
1447219347,4040,7412,11,"Nov",4,2018,27-NOV-18
1447186299,4040,7412,1,"Jan",1,2018,15-JAN-18
1447186296,4040,7412,12,"Dec",4,2018,30-DEC-18
1447201983,4040,7412,12,"Dec",4,2018,27-DEC-18
1447201985,4040,7412,6,"Jun",2,2018,30-JUN-18
1447219348,4040,7412,12,"Dec",4,2018,12-DEC-18
1447302857,4041,7412,7,"Jul",3,2018,16-JUL-18
1447373488,4041,7412,9,"Sep",3,2018,30-SEP-18
1447399142,4041,7412,3,"Mar",1,2018,23-MAR-18
1447373487,4041,7412,10,"Oct",4,2018,22-OCT-18
1447399141,4041,7412,5,"May",2,2018,28-MAY-18
