ORDER_ID,ORDER_DATE,PLANTPRODCUST_ID,PORTCARRIER_ID,MONTH_NUM,MONTH_NAME,QUARTER,YEAR
1447221634,6/10/18,3875,7412,6,Jun,2,2018
1447340633,4/24/18,3875,7412,4,Apr,2,2018
1447184596,9/20/18,3875,7412,9,Sep,3,2018
1447278500,5/25/18,3876,7412,5,May,2,2018
1447386297,6/30/18,3876,7412,6,Jun,2,2018
1447182392,12/21/18,3876,7412,12,Dec,4,2018
1447309255,8/9/18,3877,7412,8,Aug,3,2018
1447396767,7/26/18,3877,7412,7,Jul,3,2018
1447352019,9/21/18,3877,7412,9,Sep,3,2018
1447352021,6/16/18,3877,7412,6,Jun,2,2018
1447379197,1/19/18,3877,7412,1,Jan,1,2018
1447359555,6/15/18,3877,7412,6,Jun,2,2018
1447178244,12/7/18,3877,7412,12,Dec,4,2018
1447317148,4/22/18,3877,7412,4,Apr,2,2018
1447359554,2/5/18,3877,7412,2,Feb,1,2018
1447352022,12/20/18,3877,7412,12,Dec,4,2018
1447352018,11/5/18,3877,7412,11,Nov,4,2018
1447352020,11/28/18,3877,7412,11,Nov,4,2018
1447205762,7/25/18,3878,7412,7,Jul,3,2018
1447205763,9/15/18,3878,7412,9,Sep,3,2018
1447370682,6/21/18,3879,7412,6,Jun,2,2018
1447372963,1/7/18,3880,7412,1,Jan,1,2018
1447182403,5/18/18,3880,7412,5,May,2,2018
1447234949,11/22/18,3881,7412,11,Nov,4,2018
1447178062,11/13/18,3881,7412,11,Nov,4,2018
1447388729,10/20/18,3881,7412,10,Oct,4,2018
1447392217,7/9/18,3882,7412,7,Jul,3,2018
1447193187,11/2/18,3883,7412,11,Nov,4,2018
1447353695,1/29/18,3884,7412,1,Jan,1,2018
1447352524,12/31/18,3885,7412,12,Dec,4,2018
1447182398,8/8/18,3885,7412,8,Aug,3,2018
1447278497,12/27/18,3885,7412,12,Dec,4,2018
1447255584,7/24/18,3885,7412,7,Jul,3,2018
1447332136,9/27/18,3885,7412,9,Sep,3,2018
1447366887,1/25/18,3885,7412,1,Jan,1,2018
1447234950,1/28/18,3885,7412,1,Jan,1,2018
1447213261,1/14/18,3886,7412,1,Jan,1,2018
1447201702,5/17/18,3887,7412,5,May,2,2018
1447201700,7/12/18,3887,7412,7,Jul,3,2018
1447182394,8/31/18,3888,7412,8,Aug,3,2018
1447178243,5/15/18,3888,7412,5,May,2,2018
1447182393,3/27/18,3889,7412,3,Mar,1,2018
1447362579,5/10/18,3889,7412,5,May,2,2018
1447410884,6/17/18,3890,7412,6,Jun,2,2018
1447373506,8/11/18,3891,7412,8,Aug,3,2018
1447393109,2/11/18,3891,7412,2,Feb,1,2018
1447205898,1/2/18,3987,7412,1,Jan,1,2018
1447261157,6/11/18,3987,7412,6,Jun,2,2018
1447283772,5/13/18,3987,7412,5,May,2,2018
1447216710,6/10/18,3987,7412,6,Jun,2,2018
1447302786,11/27/18,3987,7412,11,Nov,4,2018
1447283727,1/15/18,3987,7412,1,Jan,1,2018
1447373433,12/30/18,3987,7412,12,Dec,4,2018
1447389131,12/27/18,3987,7412,12,Dec,4,2018
1447208346,6/30/18,3987,7412,6,Jun,2,2018
1447266883,12/12/18,3987,7412,12,Dec,4,2018
1447373503,7/16/18,4039,7412,7,Jul,3,2018
1447401850,9/30/18,4039,7412,9,Sep,3,2018
1447373491,3/23/18,4039,7412,3,Mar,1,2018
1447373510,10/22/18,4041,7412,10,Oct,4,2018
1447305018,5/28/18,4043,7412,5,May,2,2018
1447373481,1/6/18,4043,7412,1,Jan,1,2018
1447305017,12/18/18,4043,7412,12,Dec,4,2018
1447373453,11/21/18,4043,7412,11,Nov,4,2018
1447186295,8/4/18,4045,7412,8,Aug,3,2018
1447201982,11/13/18,4045,7412,11,Nov,4,2018
1447219347,4/10/18,4045,7412,4,Apr,2,2018
1447186299,7/4/18,4045,7412,7,Jul,3,2018
1447186296,1/17/18,4045,7412,1,Jan,1,2018
1447201983,11/21/18,4045,7412,11,Nov,4,2018
1447201985,4/28/18,4045,7412,4,Apr,2,2018
1447219348,1/22/18,4045,7412,1,Jan,1,2018
1447302857,11/25/18,4046,7412,11,Nov,4,2018
1447373488,5/12/18,4046,7412,5,May,2,2018
1447399142,8/6/18,4046,7412,8,Aug,3,2018
1447373487,12/24/18,4046,7412,12,Dec,4,2018
1447399141,1/29/18,4046,7412,1,Jan,1,2018
1447373486,1/30/18,4046,7412,1,Jan,1,2018
1447373464,9/11/18,4046,7412,9,Sep,3,2018
1447219344,11/13/18,4047,7412,11,Nov,4,2018
1447296447,2/14/18,3892,7411,2,Feb,1,2018
1447158015,9/2/18,3892,7411,9,Sep,3,2018
1447138899,3/3/18,3892,7411,3,Mar,1,2018
1447363528,9/20/18,3892,7411,9,Sep,3,2018
1447363981,12/31/18,3892,7411,12,Dec,4,2018
1447351441,2/24/18,3892,7411,2,Feb,1,2018
1447320236,1/9/18,3892,7411,1,Jan,1,2018
1447158019,1/24/18,3892,7411,1,Jan,1,2018
1447219341,7/6/18,3892,7411,7,Jul,3,2018
1447398416,1/9/18,3892,7411,1,Jan,1,2018
1447381679,2/21/18,3892,7411,2,Feb,1,2018
1447170785,1/3/18,3892,7411,1,Jan,1,2018
1447155056,4/14/18,3893,7411,4,Apr,2,2018
1447257265,6/28/18,3893,7411,6,Jun,2,2018
1447240989,5/28/18,3893,7411,5,May,2,2018
1447257231,2/9/18,3893,7411,2,Feb,1,2018
1447260653,8/8/18,3893,7411,8,Aug,3,2018
1447139375,2/26/18,3893,7411,2,Feb,1,2018
1447308590,9/18/18,3893,7411,9,Sep,3,2018
1447191271,4/17/18,3893,7411,4,Apr,2,2018
1447191284,8/29/18,3896,7411,8,Aug,3,2018
1447352426,12/9/18,3897,7411,12,Dec,4,2018
1447211829,11/25/18,3898,7411,11,Nov,4,2018
1447232833,8/3/18,3898,7411,8,Aug,3,2018
1447205081,5/10/18,3896,7411,5,May,2,2018
1447365980,4/15/18,3895,7411,4,Apr,2,2018
1447157118,5/5/18,3896,7411,5,May,2,2018
1447398413,5/23/18,3897,7411,5,May,2,2018
1447377319,2/10/18,3897,7411,2,Feb,1,2018
1447257239,5/21/18,3898,7411,5,May,2,2018
1447368959,5/23/18,3894,7411,5,May,2,2018
1447308591,7/30/18,3896,7411,7,Jul,3,2018
